timestamp,hr,conf
1698420253.182,52,25
1698420254.048,52,16
1698420254.882,52,23
1698420256.548,55,49
1698420257.386,59,42
1698420258.214,59,39
1698420259.047,59,9
1698420259.88,59,5
1698420261.547,59,26
1698420262.38,59,0
1698420265.784,61,0
1698420266.612,61,23
1698420267.446,61,36
1698420268.279,62,27
1698420269.112,62,17
1698420269.945,62,7
1698420270.779,62,11
1698420271.622,64,28
1698420272.445,64,14
1698420273.278,64,9
1698420274.111,64,3
1698420274.945,69,49
1698420275.782,69,30
1698420276.611,69,75
1698420277.444,69,88
1698420278.278,69,77
1698420279.111,74,75
1698420279.944,74,57
1698420280.777,74,55
1698420281.621,74,66
1698420282.444,74,77
1698420283.277,74,68
1698420284.196,77,68
1698420285.096,77,80
1698420286.927,74,73
1698420288.517,74,57
1698420288.544,74,52
1698420290.311,74,64
1698420291.244,75,73
1698420292.111,75,69
1698420293.011,75,70
1698420294.995,75,67
1698420295.677,75,36
