ts,accGx,accGy,accGz
1698920341016.0,-427,629,-631
1698920341096.0,-428,627,-630
1698920341176.0,-433,627,-622
1698920341258.0,-439,628,-621
1698920341336.0,-437,630,-619
1698920341416.0,-422,643,-616
1698920341496.0,-415,656,-621
1698920341576.0,-426,660,-622
1698920341656.0,-429,655,-625
1698920341736.0,-424,653,-625
1698920341816.0,-419,658,-622
1698920341896.0,-417,660,-618
1698920341976.0,-418,658,-620
1698920342056.0,-421,658,-622
1698920342136.0,-426,660,-618
1698920342216.0,-425,657,-620
1698920342297.0,-424,650,-621
1698920342376.0,-422,643,-625
1698920342459.0,-418,644,-629
1698920342536.0,-375,646,-668
1698920342616.0,-393,630,-653
1698920342696.0,-404,641,-632
1698920342776.0,-417,653,-623
1698920342856.0,-426,656,-620
1698920342936.0,-426,654,-622
1698920343016.0,-420,653,-621
1698920343096.0,-420,657,-621
1698920343176.0,-423,663,-619
1698920343256.0,-439,636,-642
1698920343337.0,-448,616,-656
1698920343416.0,-436,629,-635
1698920343498.0,-424,637,-631
1698920343576.0,-416,641,-634
1698920343656.0,-416,646,-629
1698920343736.0,-420,645,-626
1698920343816.0,-425,647,-629
1698920343896.0,-424,653,-629
1698920343976.0,-419,653,-628
1698920344056.0,-418,647,-631
1698920344136.0,-423,645,-629
1698920344216.0,-424,648,-621
1698920344296.0,-363,660,-676
1698920344377.0,-335,666,-705
1698920344456.0,-379,658,-663
1698920344538.0,-402,650,-649
1698920344616.0,-413,646,-640
1698920344696.0,-415,644,-631
1698920344776.0,-417,642,-629
1698920344856.0,-418,640,-618
1698920344936.0,-421,644,-607
1698920345016.0,-442,624,-632
1698920345096.0,-446,611,-651
1698920345176.0,-428,624,-638
1698920345256.0,-417,631,-635
1698920345336.0,-415,636,-637
1698920345418.0,-419,640,-633
1698920345495.0,-419,646,-624
1698920345578.0,-412,657,-617
1698920345655.0,-410,654,-624
1698920345735.0,-410,652,-624
1698920345816.0,-398,666,-608
1698920345895.0,-373,682,-596
1698920345975.0,-359,700,-589
1698920346056.0,-372,719,-555
1698920346135.0,-391,711,-538
1698920346215.0,-443,734,-498
1698920346296.0,-564,743,-404
1698920346375.0,-711,695,-329
1698920346455.0,-828,636,-252
1698920346536.0,-890,560,-173
1698920346618.0,-930,489,-110
1698920346695.0,-996,431,-52
1698920346776.0,-1063,398,5
1698920346858.0,-1078,375,9
1698920346935.0,-1054,355,-5
1698920347015.0,-1044,329,6
1698920347095.0,-1072,263,-29
1698920347175.0,-986,190,-46
1698920347255.0,-890,148,-43
1698920347335.0,-852,144,-35
1698920347415.0,-856,175,-37
1698920347575.0,-927,271,-74
1698920347655.0,-965,324,-93
1698920347735.0,-967,342,-106
1698920347815.0,-948,344,-123
1698920347898.0,-928,333,-143
1698920347975.0,-927,312,-142
1698920348055.0,-966,301,-116
1698920348135.0,-993,322,-97
1698920348215.0,-980,346,-85
1698920348295.0,-969,343,-74
1698920348375.0,-968,357,-58
1698920348455.0,-965,393,-47
1698920348535.0,-971,389,-35
1698920348615.0,-964,361,-22
1698920348695.0,-965,343,-16
1698920348775.0,-973,327,-16
1698920348855.0,-973,302,-28
1698920348937.0,-981,271,-51
1698920349015.0,-1043,234,-67
1698920349095.0,-1110,227,-97
1698920349175.0,-1104,256,-164
1698920349255.0,-940,142,-151
1698920349335.0,-933,149,-134
1698920349415.0,-913,160,-149
1698920349495.0,-907,145,-145
1698920349575.0,-918,165,-154
1698920349655.0,-934,186,-168
1698920349735.0,-943,200,-177
1698920349815.0,-932,224,-190
1698920349895.0,-943,244,-207
1698920349976.0,-1034,282,-233
1698920350055.0,-1078,341,-240
1698920350137.0,-1048,332,-169
1698920350215.0,-1046,298,-102
1698920350295.0,-1049,289,-33
1698920350375.0,-1023,305,43
1698920350455.0,-964,341,82
1698920350535.0,-878,370,78
1698920350615.0,-833,370,0
1698920350695.0,-860,323,-101
1698920350775.0,-902,275,-191
1698920350855.0,-968,265,-235
1698920350935.0,-1120,255,-251
1698920351015.0,-1248,245,-232
1698920351095.0,-1195,271,-178
1698920351177.0,-1057,289,-130
1698920351254.0,-975,292,-115
1698920351335.0,-921,244,-138
1698920351414.0,-867,171,-173
1698920351494.0,-927,117,-205
1698920351575.0,-972,119,-191
1698920351654.0,-969,156,-151
1698920351734.0,-958,186,-136
1698920351815.0,-960,199,-170
1698920351894.0,-947,229,-210
1698920351974.0,-983,260,-240
1698920352055.0,-1047,266,-220
1698920352134.0,-1051,272,-174
1698920352217.0,-1009,282,-115
1698920352295.0,-1010,274,-50
1698920352374.0,-1056,288,2
1698920352454.0,-1057,340,19
1698920352535.0,-1003,350,38
1698920352614.0,-940,306,39
1698920352694.0,-911,266,-48
1698920352775.0,-920,221,-141
1698920352854.0,-977,209,-212
1698920352934.0,-1021,223,-249
1698920353014.0,-1065,221,-227
1698920353094.0,-1152,228,-175
1698920353174.0,-1113,289,-146
1698920353255.0,-959,345,-79
1698920353334.0,-905,275,-26
1698920353414.0,-913,192,-60
1698920353497.0,-924,176,-94
1698920353574.0,-970,151,-100
1698920353654.0,-990,148,-114
1698920353735.0,-965,165,-101
1698920353814.0,-954,193,-89
1698920353894.0,-946,220,-90
1698920353974.0,-886,272,-118
1698920354054.0,-902,307,-96
1698920354134.0,-995,316,-29
1698920354214.0,-1021,291,50
1698920354294.0,-1004,276,155
1698920354375.0,-987,318,211
1698920354454.0,-987,338,222
1698920354536.0,-980,323,213
1698920354614.0,-976,324,186
1698920354694.0,-995,334,165
1698920354774.0,-1057,362,227
1698920354854.0,-1068,358,262
1698920354934.0,-1017,300,219
1698920355015.0,-990,272,181
1698920355094.0,-970,266,129
1698920355174.0,-981,258,95
1698920355254.0,-998,245,46
1698920355334.0,-974,209,-26
1698920355414.0,-965,196,-101
1698920355494.0,-959,234,-169
1698920355575.0,-952,257,-191
1698920355654.0,-965,257,-191
1698920355734.0,-954,258,-192
1698920355814.0,-938,176,-142
1698920355894.0,-935,165,-138
1698920355974.0,-925,171,-144
1698920356054.0,-1015,205,-157
1698920356134.0,-1103,233,-151
1698920356214.0,-1088,233,-123
1698920356294.0,-1022,267,-100
1698920356374.0,-978,302,-50
1698920356454.0,-1003,347,8
1698920356534.0,-1015,381,48
1698920356615.0,-987,362,67
1698920356694.0,-925,333,25
1698920356776.0,-871,295,-50
1698920356854.0,-884,262,-119
1698920356934.0,-949,250,-188
1698920357014.0,-1075,226,-215
1698920357094.0,-1125,229,-104
1698920357174.0,-1054,229,-28
1698920357254.0,-996,191,-52
1698920357334.0,-987,183,-39
1698920357413.0,-975,197,-47
1698920357493.0,-955,170,-78
1698920357574.0,-968,126,-112
1698920357654.0,-967,119,-156
1698920357733.0,-952,113,-184
1698920357816.0,-940,109,-179
1698920357893.0,-977,121,-131
1698920357973.0,-1004,219,-168
1698920358054.0,-1047,265,-193
1698920358133.0,-1113,322,-207
1698920358213.0,-1108,327,-160
1698920358294.0,-1067,288,-67
1698920358373.0,-1090,307,3
1698920358453.0,-1098,339,58
1698920358534.0,-1051,324,80
1698920358613.0,-977,265,10
1698920358693.0,-894,219,-113
1698920358774.0,-841,219,-207
1698920358857.0,-899,250,-262
1698920358933.0,-1011,314,-243
1698920359014.0,-1116,364,-189
1698920359093.0,-1115,376,-139
1698920359173.0,-1026,388,-98
1698920359253.0,-971,345,-82
1698920359333.0,-952,252,-84
1698920359413.0,-871,208,-125
1698920359493.0,-839,171,-163
1698920359574.0,-918,163,-165
1698920359653.0,-966,184,-158
1698920359733.0,-970,185,-156
1698920359813.0,-961,217,-161
1698920359893.0,-961,276,-163
1698920359974.0,-938,374,-128
1698920360053.0,-932,463,-82
1698920360135.0,-1141,439,87
1698920360213.0,-1095,318,206
1698920360293.0,-958,214,307
1698920360373.0,-905,170,357
1698920360453.0,-956,182,333
1698920360533.0,-1025,194,265
1698920360613.0,-1036,164,172
1698920360693.0,-1032,139,81
1698920360773.0,-1052,143,26
1698920360853.0,-1066,143,17
1698920360933.0,-1056,117,46
1698920361013.0,-1060,66,104
1698920361093.0,-1082,41,109
1698920361175.0,-1042,69,12
1698920361253.0,-981,81,-87
1698920361333.0,-970,93,-144
1698920361413.0,-980,120,-186
1698920361493.0,-959,123,-190
1698920361573.0,-948,107,-159
1698920361653.0,-966,85,-120
1698920361733.0,-986,70,-81
1698920361813.0,-961,90,-68
1698920361893.0,-888,116,-57
1698920361973.0,-855,121,-47
1698920362053.0,-877,158,-5
1698920362133.0,-933,222,81
1698920362214.0,-989,319,143
1698920362293.0,-1005,356,99
1698920362375.0,-1000,379,47
1698920362453.0,-1010,396,19
1698920362533.0,-1001,419,22
1698920362613.0,-993,410,30
1698920362693.0,-1008,287,15
1698920362774.0,-964,261,48
1698920362853.0,-979,484,-3
1698920362933.0,-970,562,-68
1698920363013.0,-889,465,-55
1698920363093.0,-866,480,-42
1698920363172.0,-846,549,-54
1698920363253.0,-823,590,-84
1698920363333.0,-812,606,-98
1698920363415.0,-784,605,-135
1698920363492.0,-778,623,-189
1698920363573.0,-784,636,-218
1698920363652.0,-785,639,-221
1698920363732.0,-785,635,-242
1698920363813.0,-739,642,-309
1698920363892.0,-655,654,-410
1698920363972.0,-573,661,-487
1698920364053.0,-518,658,-552
1698920364132.0,-526,631,-589
1698920364212.0,-566,601,-583
1698920364293.0,-558,584,-652
1698920364372.0,-545,565,-692
1698920364455.0,-548,537,-635
1698920364533.0,-533,504,-636
1698920364612.0,-538,484,-637
1698920364695.0,-559,483,-634
1698920364773.0,-569,497,-625
1698920364852.0,-562,505,-630
1698920364932.0,-551,517,-641
